시설명,분류명,체육시설분류,간이운동장 체육시설분류,소유기관,관리주체,시도명,시군구명,동읍면,리,도로명주소,경도,위도,시설면적,수용인원,관람석,관할지자체과,담당자연락처,홈페이지,개방시간,종료시간,휴무일,대중교통안내,
누상동마을야산체육시설,,간이,도시공원,,,서울,종로구,누상동,,서울특별시 종로구 옥인6길 58,126.964321,37.579754,0,0,0,종로구청 관광체육과,02-2148-1892,,,,,,
종로 문화체육센터,생활체육관,공공,,종로구,종로구시설관리공단,서울,종로구,사직동,,서울 종로구 사직동 인왕산로1길 21,126.964663,37.574211,,,,종로구시설관리공단,02-732-9392,ijongno.co.kr/main.asp,6:00,23:00,국가공휴일  토요일/일요일(06:00~20:00),"지하철-&amp;gt;3호선 경복궁역 1번 출구,3호선 독립문역 3번 출구,5호선 서대문역 3번 출구  버스-&amp;gt; 171 272 601 606 706 708 7025 9600 9602 9703 9706 9708 마을버스5번",
사직체육회,,간이,체육공원,,,서울,종로구,사직동,,서울특별시 종로구 사직로9길 15-32,126.963946,37.577919,0,0,0,종로구청 관광체육과,02-2148-1892,,,,,경복궁역 1번출구 도보 15분,
종로 문화체육센터 수영장,수영장,공공,,종로구,종로구시설관리공단,서울,종로구,사직동,,서울 종로구 사직동 인왕산로1길 21,126.964663,37.574211,,,,종로구시설관리공단,02-732-9393,ijongno.co.kr/main.asp,6:00,23:00,국가공휴일  토요일/일요일(06:00~20:00),"지하철-&amp;gt;3호선 경복궁역 1번 출구,3호선 독립문역 3번 출구,5호선 서대문역 3번 출구/버스-&amp;gt; 171 272 601 606 706 708 7025 9600 9602 9703 9706 9708 마을버스5번",
삼청동저류조체육시설,,간이,기타,,,서울,종로구,삼청동,,서울특별시 종로구 북촌로 134 3,126.984085,37.587979,0,0,0,종로구청 관광체육과,02-2148-1892,,,,,마을버스 종로11번 삼청공원 종점하차후 도보 5분,
삼청 테니스장,테니스장,공공,,종로구,종로구시설관리공단,서울,종로구,삼청동,,서울 종로구 삼청동 삼청로10길 13,126.982038,37.587636,,,,종로구시설관리공단,02-2148-4068,ijongno.co.kr/main.asp,7:00,21:00,"주말,공휴일 07:00-18:00",지하철 5호선 광화문역 하차 ②번 출구로 나오셔서 KT 주차장에서  마을버스 11번을 타시고 삼청동 마을버스 종점에서 하차 하시면 됩니다.,
올림픽기념 국민생활관 수영장,수영장,공공,,종로구,종로구시설관리공단,서울,종로구,혜화동,,서울 종로구 혜화동 성균관로 91,126.998795,37.590474,,,,종로구시설관리공단,02-745-6701,ijongno.co.kr/main.asp,6:00,23:00,법정공휴일 및 근로자의날  토요일(06:00~20:00)  일요일(10:00~18:00),"지하철-&amp;gt;4호선 혜화역 4번 출구(도보 이용시), 1번출구(마을버스 이용시) / 버스-&amp;gt;종로 08 101 102 103 104 106 107 109 140 143 150 151 160 161 172 2112",
올림픽기념 국민생활관,생활체육관,공공,,종로구,종로구시설관리공단,서울,종로구,혜화동,,서울 종로구 혜화동 성균관로 91,126.998795,37.590474,,,,종로구시설관리공단,02-745-6701,ijongno.co.kr/main.asp,6:00,23:00,법정공휴일 및 근로자의날  토요일(06:00~20:00)  일요일(10:00~18:00),"지하철-&amp;gt;4호선 혜화역 4번 출구(도보 이용시), 1번출구(마을버스 이용시) / 버스-&amp;gt;종로 08 101 102 103 104 106 107 109 140 143 150 151 160 161 172 2112",
종로구민회관,생활체육관,공공,,종로구,종로구시설관리공단,서울,종로구,창신동,,서울 종로구 창신동 지봉로5길 7-5,127.014367,37.573502,,,,종로구시설관리공단,02-3672-2530,ijongno.co.kr/main.asp,6:00,23:00,법정공휴일  토요일(06:00~20:00)  일요일(09:00~18:00),"지하철-&amp;gt;1.6호선 동묘역 9번 또는 8번 출구에서 1분거리 / 버스-&amp;gt; 마을버스 : 낙산↔동대문 (03번), 파랑(간선) : 102, 105, 107, 144, 152, 163, 200, 260, 261, 262, 270, 271, 300, 420, 602, 705, 720, 초록(지선) : 0013, 1013, 1014, 1016, 1018, 1019, 2013, 2112, 2233, 빨강(광역) : 9301, 9403, 9410, 공항버스 : 602",
종로구민회관 수영장,수영장,공공,,종로구,종로구시설관리공단,서울,종로구,창신동,,서울 종로구 창신동 지봉로5길 7-5,127.014367,37.573502,,,,종로구시설관리공단,02-3672-2530,ijongno.co.kr,6:00,22:00,법정공휴일  토요일(06:00~20:00)  일요일(09:00~18:00),"지하철 -&amp;gt;1.6호선 동묘역 9번 또는 8번 출구에서 1분거리/ 버스-&amp;gt;낙산↔동대문 (03번)  일반버스 :- 파랑(간선) : 102, 105, 107, 144, 152, 163, 200, 260, 261, 262, 270, 271, 300, 420, 602, 705, 720- 초록(지선) : 0013, 1013, 1014, 1016, 1018, 1019, 2013, 2112, 2233- 빨강(광역) : 9301, 9403, 9410- 공항버스 : 602",
무악배드민턴장,,간이,도시공원,,,서울,종로구,무악동,,서울특별시 종로구 통일로18가길 46,126.958394,37.577867,0,0,0,종로구청 관광체육과,02-2148-1892,,,,,,
무악약수체육공원,,간이,도시공원,,,서울,종로구,무악동,,서울특별시 종로구 통일로18가길 46,126.958394,37.577867,0,0,0,종로구청 관광체육과,2148-1892,,,,,독립문역 1번출구 도보 20분,
인왕산약수터,,간이,약수터,,,서울,종로구,무악동,,서울특별시 종로구 통일로18가길 26,126.958955,37.578941,0,0,0,종로구청 관광체육과,02-2148-1892,,,,,,
중구회현체육센터 골프연습장,골프연습장,공공,,중구,중구시설관리공단,서울,중구,회현동1가,,서울 중구 회현동1가 퇴계로12길 78,126.981634,37.55604,,,,중구시설관리공단,02-2280-8430,e-junggu.or.kr/?code=10&amp;subp=3000_0,6:00,20:30,"공휴일, 일요일 : 09:30 ~ 16:30  (신정, 설날, 추석 연휴 휴관)","지하철 -&amp;gt; 4호선 회현역 1번출구로 나와서 남산방면 200m  버스(남대문시장) -&amp;gt; 간선버스: 263 505 604 8002, 지선버스: 0013 7011 7013",
